No. Recibo sin PCC,Key,Venta: Nombre PDV,Venta: Código Unico PDV,IdDocumento,IdFormaPago,IdIslero,Monto,Venta: Fecha de Transacción,Observación
5215,5215EDS3225,EDS LA TORRE MOSQUERA,EDS3225,165700,254,1111,10000,3/16/2022 15:54,Existe en Satelite
5216,5216EDS3225,EDS LA TORRE MOSQUERA,EDS3225,178300,254,1111,10000,3/16/2022 15:55,Existe en Satelite
5217,5217EDS3225,EDS LA TORRE MOSQUERA,EDS3225,731000,254,1111,10000,3/16/2022 15:59,Existe en Satelite
5218,5218EDS3225,EDS LA TORRE MOSQUERA,EDS3225,802000,254,1111,10000,3/16/2022 15:59,Existe en Satelite
5219,5219EDS3225,EDS LA TORRE MOSQUERA,EDS3225,549200,254,1111,10000,3/16/2022 16:02,Existe en Satelite
5221,5221EDS3225,EDS LA TORRE MOSQUERA,EDS3225,38400,254,1111,10000,3/16/2022 16:07,Existe en Satelite
5222,5222EDS3225,EDS LA TORRE MOSQUERA,EDS3225,678500,254,1111,10000,3/16/2022 16:07,Existe en Satelite
5223,5223EDS3225,EDS LA TORRE MOSQUERA,EDS3225,897700,254,1111,15000,3/16/2022 16:10,Existe en Satelite
5224,5224EDS3225,EDS LA TORRE MOSQUERA,EDS3225,63500,254,1111,15000,3/16/2022 16:10,Existe en Satelite
5225,5225EDS3225,EDS LA TORRE MOSQUERA,EDS3225,998700,254,1111,15000,3/16/2022 16:12,Existe en Satelite
5228,5228EDS3225,EDS LA TORRE MOSQUERA,EDS3225,422701,254,1111,10000,3/16/2022 16:14,Existe en Satelite
5230,5230EDS3225,EDS LA TORRE MOSQUERA,EDS3225,406000,254,1111,10000,3/16/2022 16:18,Existe en Satelite
5231,5231EDS3225,EDS LA TORRE MOSQUERA,EDS3225,99500,254,1111,10000,3/16/2022 16:20,Existe en Satelite
5232,5232EDS3225,EDS LA TORRE MOSQUERA,EDS3225,111700,254,1111,10000,3/16/2022 16:20,Existe en Satelite
5233,5233EDS3225,EDS LA TORRE MOSQUERA,EDS3225,115300,254,1111,10000,3/16/2022 16:23,Existe en Satelite
5234,5234EDS3225,EDS LA TORRE MOSQUERA,EDS3225,518400,254,1111,10000,3/16/2022 16:23,Existe en Satelite
